phi5_x_lab bin centers    value    Error 
 9.576000e-03   2.923890e-03   1.006923e-03
 9.624000e-03   6.236627e-04   2.284619e-04
 9.672000e-03   1.810213e-03   7.074651e-04
 9.720000e-03   7.136054e-03   1.909442e-03
 9.768000e-03   1.482924e-03   5.483720e-04
 9.816000e-03   1.742039e-03   5.112496e-04
 9.864000e-03   2.094673e-03   5.566597e-04
 9.912000e-03   4.028794e-03   1.300925e-03
 9.960000e-03   2.746878e-03   6.950110e-04
 1.000800e-02   2.688330e-03   8.048488e-04
 1.005600e-02   2.152782e-03   6.282373e-04
 1.010400e-02   3.111694e-03   8.631133e-04
 1.015200e-02   8.745115e-04   3.763180e-04
 1.020000e-02   2.343839e-03   7.065875e-04
 1.024800e-02   2.858364e-03   7.762514e-04
 1.029600e-02   1.726055e-03   4.867974e-04
 1.034400e-02   1.006583e-02   4.392965e-03
 1.039200e-02   3.019449e-03   8.277491e-04
 1.044000e-02   5.100369e-03   1.571445e-03
 1.048800e-02   1.185418e-03   3.911899e-04
 1.053600e-02   8.108444e-04   2.915260e-04
 1.058400e-02   2.837128e-03   9.095318e-04
 1.063200e-02   1.301133e-03   5.527086e-04
 1.068000e-02   1.665366e-03   7.852791e-04
 1.072800e-02   2.743015e-03   8.160097e-04
 1.077600e-02   2.809367e-03   6.905919e-04
 1.082400e-02   1.145325e-03   3.889628e-04
 1.087200e-02   2.179108e-03   8.751247e-04
 1.092000e-02   2.827373e-03   1.428666e-03
 1.096800e-02   2.470094e-04   1.014034e-04
 1.101600e-02   1.520068e-03   6.002584e-04
 1.106400e-02   9.517123e-04   3.644390e-04
 1.111200e-02   2.655719e-03   7.230092e-04
 1.116000e-02   1.313734e-02   4.792889e-03
 1.120800e-02   1.669540e-03   4.984047e-04
 1.125600e-02   1.303942e-03   4.280791e-04
 1.130400e-02   2.631119e-03   6.427825e-04
 1.135200e-02   1.824325e-03   4.744014e-04
 1.140000e-02   4.299483e-03   1.471954e-03
 1.144800e-02   8.436494e-04   2.852667e-04
 1.149600e-02   1.785057e-03   5.298458e-04
 1.154400e-02   4.279905e-03   1.309762e-03
 1.159200e-02   3.071098e-03   1.058779e-03
 1.164000e-02   2.888801e-03   7.343586e-04
 1.168800e-02   3.952702e-04   1.737512e-04
 1.173600e-02   7.016917e-05   5.493292e-05
 1.178400e-02   2.333514e-03   4.285446e-04
 1.183200e-02   5.168403e-06   5.105398e-06
 1.188000e-02   6.823156e-04   2.538682e-04
 1.192800e-02   1.395801e-03   4.832276e-04
 1.197600e-02   8.869715e-04   3.031129e-04
 inf   1.710189e-02   2.901201e-04
